sov_a3,sovereignt,Voice,SMS,Data{per MB}
BEN,Benin,0.0105,0,0.002305
BFA,Burkina Faso,0.000945946,0,0.003956316
CIV,Côte D'Ivoire,0.006091304,0,0.00207087
CPV,Cape Verde,0,0,0
GHA,Ghana,0.000363636,0,0.000941364
GIN,Guinea,0,0,0
GMB,Gambia,0.000597619,0,0.002247857
GNB,Guniea Bissaw,0,0,0.005896667
LBR,Liberia,0,0,0.000012952
MLI,MALI,0,0,0.005896667
MRT,Mauritania,0,0,0.001015
NER,Niger,0,0,0.002974474
NGA,Nigeria,0,0,0.001957565
SEN,Senegal,0.00114,0,0.001795185
SLE,Sierra Leone,0,0,0.000000934
TGO,Togo,0,0,0.001558095
